,product_name_list,price_lst
0,العلالي فانيلا بودرة 20 جرام,2.5
1,حدائق كاليفورنيا فول مدمس مصفى 450غ,4.95
2,امريكانا بتر كوكيز ازرق 44  جرام,1.25
3,اندوفود صلصة حارة سومطرا 140 مل,3.5
4,مازولا سمن نباتي للكيك 1 كيلو,16.75
5,كارفور حلوى المشمش والتفاح 100 جرام  &ti...,6.95
6,فريشلي صلصة بافالو لتتبيل أجنحة الدجاج 3...,10.5
7,الكرامه بف باستري 20 قطع + 10 مجاناً,13.3
8,قودي تونا بالفلفل 185 جرام,7.25
9,أولكر لبنة تركية كاملة الدسم (للكيلو),26.95
10,لونا حمص 400 جم,3.0
11,كاليفورنيا جاردن فول بوصفة سعودية 450 جر...,4.95
12,امريكانا ناقيت فرانك بقري 375 جرام,8.7
13,بيتي معجون طماطم 135  جرام - 8 حبات,8.95
14,العلالي معكرونة أكواع 450 جرام,3.95
15,واتيز ذرة حلوة 450 جرام,10.95
16,ليز بطاطس بالجبنة 160 جم,5.5
17,النخيل زيت نباتي 1.8 لتر,10.95
18,أديتكو قهوة هرري 5 كج,157.95
19,انلين حليب مجفف 900  جرام,53.95
20,هاينز مايونيز الأصلي 400 مل,15.95
21,السنبله برجر لحم بقري 1344 جرام × ...,30.75
22,بالسين وافل بالشوكلاتة الغامقة 100 جرام,12.95
23,فرشلي خردل 397 جرام,8.95
24,دعزاز سكر ابيض اصابع 500 جرام,10.0
25,كرافت جبنة كريمة للدهن علبة ضاغطة  790 ج...,29.75
26,كرفت جبنة كريمة قابلة للدهن 870 جرام &ti...,39.95
27,ماجي شوربة كريمة الدجاج 73 جم - 12 حبة,48.95
28,العلالي فانيلا بودرة 20 جرام 12 حبة,28.95
29,ليندت شوكولاتة داكنة 85% كاكاو - 100 جرا...,15.75
30,ماكفيتيز بسكويت دايجستف شوكولاتة داكنة 2...,9.5
31,العريش صدر دجاج 2 كج,38.95
32,العلالي شرائح تونا في زيت دوار الشمس مع ...,10.0
33,ثوم مقشر - علبة 250 جرام,9.95
34,هرفي خبز التوست بالنخالة 600 جرام,4.1
35,مجدي بهارات برياني كاملة 100 جرام,11.5
36,نستله بيور لايف مياه 600 مل - 24 حبة,16.0
37,لواكر ويفر بالحليب 45 جرام 25 حبة,72.0
38,لونا فاصولياء بيضاء 400 جم,3.0
39,فيريرو رفايلو شوكولاتة 150 جرام,17.95
40,كوكا كولا مشروب غازي 330 مل,2.5
41,منتوس حلوى بالنعناع 38 جرام 20,28.5
42,كارفور زبادي طبيعي 125 جرام × 8,19.95
43,موسي بيرة لايت 330 مل,4.95
44,فرشلي حشوة فطيرة الفراولة 595 جرام,13.5
45,كيندر بوينو شوكولاتة 43 جرام,2.95
46,جرينز جيلي الفراولة 80 جم × 12,21.95
47,شوغر ان ذا رو سكر خام طبيعي 907 جرام,14.95
48,الكبير كفتة السبانخ والجبنة 320 جرام 8 ق...,10.0
49,وفرة مكرونة اسباجيتي 400 جرام,2.75
50,ويتابيكس حبوب افطار فروت اند فايبر 500 ج...,23.95
51,كوبوليفا زيتون اخضر شرائح 360 جرام,13.25
52,بيتي كروكر خليط تشيز كيك 3 في 1 توت أزرق...,19.5
53,ليبيز كوكتيل فواكه 220 جرام,5.95
54,ماكين بطاطس ودجز سوبر 1.5 كيلو جرام,23.5
55,زينا هيل عبوة خضراء 250 جرام,23.5
56,اجينوموتو معزز النكهات 454 جرام,8.5
57,فريشلي ملح 737 جرام,2.95
58,ياطب عدس بني 1  كيلوجرام,12.75
59,إن ون فاصوليا العين السوداء 1 كجم,7.95
60,فرشلي تتبيلة سلطة خالية من الدهون 463 جر...,13.95
61,قودي معكرونة أكواع 500 جم,3.95
62,العلالي كاتشب الطماطم 395 جرام,9.75
63,السنبلة بازيلا خضراء 900 جرام,12.5
64,زين عدس أصفر 1  كيلوجرام,10.0
65,ماكين بطاطس سوبر ودجز 750 جرام,15.95
66,اليوم كبد دجاج 400  جرام,7.95
67,ستورك ويرذرز حلوى كراميل كريمية 150 جرام,10.0
68,ساديا برجر دجاج 672 جرام × 12,21.75
69,ليزا زيت دوار شمس و ذرة 1.8 لتر,13.75
70,مجدي فلفل احمر مطحون 60 جرام,3.4
71,بيدار مخلل خيار 1 كج,13.95
72,ريتشل زبادي يوناني بالزنجبيل 450 جرام,19.5
73,فوليس شرائح صدور دجاج 150 جرام,17.95
